"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","currentProduct","currentProject","historicalMean","predictedConsumptionAveraged"
"1","0","0","0","0","5.5","0","0","0","5.5","0","0","1","2","3","4","5","6","7","8","9","10","11","12","1","DDGTZAF0004","CT974v2","0.181818181818182","5.5"
"2","0","0","3.33333333333333","0","0","0","3.33333333333333","0","0","1","3.33333333333333","1","4","5","6","7","8","9","10","11","12","1","2","3","DDGTZAF0004","CT974v2","0.3","3.33333333333333"
"3","0","2.5","0","0","0","2.5","0","0","1","2.5","1","2.5","5","6","7","8","9","10","11","12","1","2","3","4","DDGTZAF0004","CT974v2","0.4","2.5"
"4","2","0","0","0","2","0","0","1","2","1","2","2","6","7","8","9","10","11","12","1","2","3","4","5","DDGTZAF0004","CT974v2","0.5","2"
"5","1.20967741935484","0.907258064516129","0.604838709677419","0.604838709677419","1.20967741935484","1.05846774193548","0.604838709677419","1.81451612903226","1.36088709677419","0.756048387096774","0.756048387096774","1.11290322580645","1","2","3","4","5","6","7","8","9","10","11","12","DDGTBLOG1CR","CT974v2","165.333333333333","1.27016129032258"
"6","0.907258064516129","0.604838709677419","0.604838709677419","1.20967741935484","1.05846774193548","0.604838709677419","1.81451612903226","1.36088709677419","0.756048387096774","0.756048387096774","1.11290322580645","1.20967741935484","2","3","4","5","6","7","8","9","10","11","12","1","DDGTBLOG1CR","CT974v2","165.333333333333","1.17943548387097"
"7","0.599781897491821","0.599781897491821","1.19956379498364","1.04961832061069","0.599781897491821","1.79934569247546","1.3495092693566","0.749727371864776","0.749727371864776","1.10359869138495","1.19956379498364","1","3","4","5","6","7","8","9","10","11","12","1","2","DDGTBLOG1CR","CT974v2","166.727272727273","1.19956379498364"
"8","0.554435483870968","1.10887096774194","0.970262096774194","0.554435483870968","1.6633064516129","1.24747983870968","0.69304435483871","0.69304435483871","1.02016129032258","1.10887096774194","1","1.38608870967742","4","5","6","7","8","9","10","11","12","1","2","3","DDGTBLOG1CR","CT974v2","180.363636363636","1.03956653225806"
"9","1.08161258603736","0.946411012782694","0.540806293018682","1.62241887905605","1.21681415929204","0.676007866273353","0.676007866273353","0.995083579154376","1.08161258603736","1","1.35201573254671","0.811209439528024","5","6","7","8","9","10","11","12","1","2","3","4","DDGTBLOG1CR","CT974v2","184.909090909091","1.08161258603736"
"10","0.934919864011656","0.534239922292375","1.60271976687712","1.20203982515784","0.667799902865469","0.667799902865469","0.98300145701797","1.06847984458475","1","1.33559980573094","0.801359883438562","1.20203982515784","6","7","8","9","10","11","12","1","2","3","4","5","DDGTBLOG1CR","CT974v2","187.181818181818","1.04621984782257"
"11","1.54838709677419","0","0","0","0","3.09677419354839","0","1.54838709677419","1.16129032258065","0.774193548387097","2.32258064516129","1.54838709677419","1","2","3","4","5","6","7","8","9","10","11","12","DDGTBLOG1C2","CT974v2","129.166666666667","1.54838709677419"
"12","0","0","0","0","2.90909090909091","0","1.45454545454545","1.09090909090909","0.727272727272727","2.18181818181818","1.45454545454545","2.18181818181818","2","3","4","5","6","7","8","9","10","11","12","1","DDGTBLOG1C2","CT974v2","137.5","1.33333333333333"
"13","0","0","0","2.74285714285714","0","1.37142857142857","1.02857142857143","0.685714285714286","2.05714285714286","1.37142857142857","2.05714285714286","0.685714285714286","3","4","5","6","7","8","9","10","11","12","1","2","DDGTBLOG1C2","CT974v2","145.833333333333","1.37142857142857"
"14","0","0","2.59459459459459","0","1.2972972972973","0.972972972972973","0.648648648648649","1.94594594594595","1.2972972972973","1.94594594594595","0.648648648648649","0.648648648648649","4","5","6","7","8","9","10","11","12","1","2","3","DDGTBLOG1C2","CT974v2","154.166666666667","1.40540540540541"
"15","0","2.46153846153846","0","1.23076923076923","0.923076923076923","0.615384615384615","1.84615384615385","1.23076923076923","1.84615384615385","0.615384615384615","0.615384615384615","0.615384615384615","5","6","7","8","9","10","11","12","1","2","3","4","DDGTBLOG1C2","CT974v2","162.5","1.43589743589744"
"16","2.04255319148936","0","1.02127659574468","0.765957446808511","0.51063829787234","1.53191489361702","1.02127659574468","1.53191489361702","0.51063829787234","0.51063829787234","0.51063829787234","2.04255319148936","6","7","8","9","10","11","12","1","2","3","4","5","DDGTBLOG1C2","CT974v2","195.833333333333","1.02127659574468"
"17","0","0","0","0","0","2.28571428571429","0","2.28571428571429","2.28571428571429","2.28571428571429","0.571428571428571","2.28571428571429","1","2","3","4","5","6","7","8","9","10","11","12","DDGTBLOG1C3","CT974v2","175","2.4"
"18","0","0","0","0","1.92","0","1.92","1.92","1.92","0.48","1.92","1.92","2","3","4","5","6","7","8","9","10","11","12","1","DDGTBLOG1C3","CT974v2","208.333333333333","2.016"
"19","0","0","0","1.76","0","1.76","1.76","1.76","0.44","1.76","1.76","1","3","4","5","6","7","8","9","10","11","12","1","2","DDGTBLOG1C3","CT974v2","227.272727272727","1.98"
"20","0","0","1.46666666666667","0","1.46666666666667","1.46666666666667","1.46666666666667","0.366666666666667","1.46666666666667","1.46666666666667","1","1.83333333333333","4","5","6","7","8","9","10","11","12","1","2","3","DDGTBLOG1C3","CT974v2","272.727272727273","1.58888888888889"
"21","0","1.375","0","1.375","1.375","1.375","0.34375","1.375","1.375","1","1.71875","0.6875","5","6","7","8","9","10","11","12","1","2","3","4","DDGTBLOG1C3","CT974v2","290.909090909091","1.60416666666667"
